ID,company,contact,country,deadline,description,employmentType,industry,jobTitle,jobType,positionLevel,positions,qualification,readvertised,requirements,responsibilities,salary,skills,technology,town,uploadDate,url,website,year
1,    Bestcare Management      ,N/A,Kenya,    20 MARCH 2010      ,,,    Bestcare Management      ,,,    Junior      ,1, and Skills,N/A,    Technical & functional skills: highly computer literatehighly digital application literate (facebook / instagram / twitter / linkedin / blogs / lead gen / seo / google ad words / sprout social / functionality of on line websites & associated applications      ,"    Key Responsibilities:Creating, formulating, implementing and optimizing all brand social media strategies on a monthly basis using the Sprout Social application; integrated calendar across all company platforms and brands and assuring all visual brand content across all platforms adheres to the Company brand imageCapturing monthly reach and compiling into monthly Social Media feedback reportsManaging marketing budgets inc. Google Ads, Instagram adverts, Facebook adverts and reportings.Amplifying engagement as much as possibleLiaising with influencers, content creators, e-commerce platforms, etc with regards to potential publicity in the form of features, campaigns etc.Working alongside the In house teams to maximize the brand's digital and in-print footprint.Copy writing in the form of blog posts, social media copy, other copy as and when needed by members of the In house team for any projects in the pipeline.E-commerce duties such as compiling load sheetsWebsite maintenance and optimization; loading new banners, loading new pop ups, updating plugins when necessary.Assisting with events; management, assisting the MD planning events / activations.      ","    KSh 10,000 - 15,000   ",    Technical & functional skills: highly computer literatehighly digital application literate (facebook / instagram / twitter / linkedin / blogs / lead gen / seo / google ad words / sprout social / functionality of on line websites & associated applications      ,,,,https://jiji.co.ke/westlands/computing-and-it-jobs/digital-marketing-internship-fG3qxaHsxFQzD0kLwmXqisof.html,https://jiji.co.ke/,2020
1,Afrinet Telecom Limited,N/A,Kenya,N/A," Develop and implement new software programs by fully understanding of JAVA, JavaScript, .PHP,, ANDROID,and their environments. Minimum Qualification: Bachelor Experience Level: Mid level Experience Length: 3 years Job Description Location: Spur Mall Thika Road Requirements The following are the requirements for this role; • A University degree from an institution a relevant field in Information Technology/ Computer Science/Software Development/Computer Engineering or equivalent diploma qualifications. • Proficiency with fundamental front end languages such as HTML, CSS and JavaScript. • Familiarity with JavaScript frameworks such as Node, React and Vue. • Demonstrable proficiency in any of the following Programming Languages: PHP, Java or Python. • Knowledge of frameworks such as Laravel, Java Spring, Django etc. is an added advantage. • Proficiency in web development: HTML, JavaScript, and CSS. Proficiency with web development tools and libraries such as Bootstrap, JQuery and AngularJS etc. is an added advantage. • Knowledgeable of the many tools in machine learning, artificial intelligence, and data mining. • Strong data structures and algorithm design skills • Ability to use logic and reason to identify the strengths and weaknesses of alternative solutions. • Familiarity with database technology such as MySQL, Oracle and MongoDB. • Must Demonstrable proficiency in android development using java or kotlin • Desirable: Linux administration; Knowledge of version control software (SVN, GIT). • Familiarity with design. Adobe XD, Photoshop, Illustrator. • Excellent verbal communication skills. • Good problem-solving skills ",,IT & Telecoms,Mobile & Web Software Developer,,,1,,N/A, for new systems or new functionality • Develop and maintain design documents for respective systems and interfaces. • To carry out systems development as per laid out requirements. • To develop interfaces between systems as the need arises. • To provide user support for respective systems. • To ensure that proper technical and user documentation is maintained for all systems. • To provide analytical information/reports from systems as required. • Recommend improvements to existing software programs as necessary. Share Job Post,,Confidential, for new systems or new functionality • Develop and maintain design documents for respective systems and interfaces. • To carry out systems development as per laid out requirements. • To develop interfaces between systems as the need arises. • To provide user support for respective systems. • To ensure that proper technical and user documentation is maintained for all systems. • To provide analytical information/reports from systems as required. • Recommend improvements to existing software programs as necessary. Share Job Post,Software & Data,Nairobi,N/A,https://www.brightermonday.co.ke/listings/mobile-web-software-developer-nxjzx0,https://www.brightermonday.co.ke/,N/A
1,Mobilecare,N/A,Kenya,N/A," Serves customers by diagnosing, troubleshooting, and repairing mobile phones and tablets while ensuring customer satisfaction. Minimum Qualification: Diploma Experience Level: Mid level Experience Length: 2 years Job Description TASKS AND ",,IT & Telecoms,Mobile Phone Repair Technician,,,1,S 1. Outstanding customer service skills 2. ,N/A,,,Confidential,,Software & Data,Nairobi,N/A,https://www.brightermonday.co.ke/listings/mobile-repair-technician-750jwx,https://www.brightermonday.co.ke/,N/A
1,Grow Mobile Technology,N/A,Kenya,N/A," As a DevOps Engineer, you will be part of our software development team and will oversee code releases and optimized deployments to the cloud. Minimum Qualification: Unspecified Experience Level: Mid level Experience Length: 3 years Job Description About Grow Mobile Technology Growmobile Technology delivers innovative solutions across several sectors including Education, Childcare, Media, Communications and Enterprise IT Consulting and Training. Role As a DevOps Engineer, you will be part of our software development team and will oversee code releases and optimized deployments to the cloud. You are an ideal candidate if you are comfortable with frequent, incremental code testing and deployment, have a strong grasp of automation tools and have proven experience with one or more cloud hosting platforms (AWS, Azure, Google Cloud) ",,IT & Telecoms,DevOps Engineer,,,1,s Preferred qualifications are: At least 3 years ,N/A,,,Confidential,,Software & Data,Nairobi,N/A,https://www.brightermonday.co.ke/listings/devops-engineer-rvjnpq,https://www.brightermonday.co.ke/,N/A
1,SoftTec Innovation Africa Ltd,N/A,Kenya,N/A," The NAV Developer’s primary responsibility is to carry out all configuration and development activities to the company’s Microsoft Dynamics NAV system. In addition to this, the NAV Developer will be required to analyze and contribute to functional specifications provided by business users and produce technical specifications in line with agreed standards the primary focus will be Dynamics NAV development, with additional activities using SQL and .NET, SSRS and creating integrations to Dynamics NAV.The NAV Developer is involved at each stage of the software development lifecycle, from helping to assess the feasibility of an identified business requirement, through documentation, development, testing and delivery. The NAV Developer is responsible for importing and exporting data from NAV to a number of other applications and taking a proactive approach to streamlining systems processes and performance. Minimum Qualification: Bachelor Experience Level: Mid level Experience Length: 3 years Job Description IMPORTANT Only applications received via BrighterMonday will be considered. Any phone calls, emails or other types of canvassing may lead to your application being disqualified. Please do not apply if you do not meet the minimum requirements set out below. Essential Functions and ",,IT & Telecoms,Navision Software Developer,,,1,"s Qualifications Required: • Technical Degree in Computer Science, MIS or equivalent • 2+ years technical expertise in developing in Microsoft Dynamics NAV required • ",N/A," • Support and drive process change and communication in line with NAV best practice • Coordinate and contribute to end-user training including development of system documentation and training materials • Assist with functional specifications of customizations and integrations required for NAV implementations • Provide pre-go-live and post-go-live end user support • Take responsibility for the customized unit programming and overall system functionality • Work with the Project Managers, Business Analyst and Consultants to understand the business / application requirements of the assigned task • Take responsibility for delivering development tasks within agreed budgets and timelines • Creation of technical documentation for all customizations and integrations • Other duties as assigned  QualificationExperience customizing NAV 2013, NAV 2015, NAV 2016, NAV 2017 or NAV 2018, MICROSOFT DYNAMICS 365 BUSINESS CENTRAL 2019. • Familiarity with core business processes such as accounting, distribution, or manufacturing • Experience with converting data from legacy systems into Dynamics NAV • Experience with building applications in .Net 2013/2015, MS SQL 2014/2016, SSRS 2014/2016 preferred. • Dynamics NAV Development, Install and Configuration certifications preferred • Some functional knowledge of the finance, trade and logistics, and other modules Share Job Post"," • Configure, develop and deliver MS Dynamics NAV software and components in all functional areas. • Create new and modify existing customizations and integrations as requested by the business • Perform data conversions, debug system problems, and craft resolutions. • Writing t-sql queries to pull reports. • Write reports using C/AL, SSRS, and Visual Studio • Installation and implementation of service packs and hot fixes as needed • Technical liaison to business groups for application support • Test functionality developed by the development team against business ",Confidential," • Support and drive process change and communication in line with NAV best practice • Coordinate and contribute to end-user training including development of system documentation and training materials • Assist with functional specifications of customizations and integrations required for NAV implementations • Provide pre-go-live and post-go-live end user support • Take responsibility for the customized unit programming and overall system functionality • Work with the Project Managers, Business Analyst and Consultants to understand the business / application requirements of the assigned task • Take responsibility for delivering development tasks within agreed budgets and timelines • Creation of technical documentation for all customizations and integrations • Other duties as assigned  QualificationExperience customizing NAV 2013, NAV 2015, NAV 2016, NAV 2017 or NAV 2018, MICROSOFT DYNAMICS 365 BUSINESS CENTRAL 2019. • Familiarity with core business processes such as accounting, distribution, or manufacturing • Experience with converting data from legacy systems into Dynamics NAV • Experience with building applications in .Net 2013/2015, MS SQL 2014/2016, SSRS 2014/2016 preferred. • Dynamics NAV Development, Install and Configuration certifications preferred • Some functional knowledge of the finance, trade and logistics, and other modules Share Job Post",Software & Data,Nairobi,N/A,https://www.brightermonday.co.ke/listings/navision-software-developer-48659r,https://www.brightermonday.co.ke/,N/A
1,MCM Solutions,N/A,Kenya,N/A,,,IT & Telecoms,Application Developer,, Mid level ,1,: Diploma ,N/A,. Share Job Post,,"105,000 - 150,000",. Share Job Post,Software & Data,Nairobi,N/A,https://www.brightermonday.co.ke/listings/application-developer-99nk66,https://www.brightermonday.co.ke/,N/A
1,Compulynx Ltd,N/A,Kenya,N/A," We are currently looking for passionate, technologically savvy and committed people to fill in the position of Software Developers Minimum Qualification: Bachelor Experience Level: Entry level Experience Length: 4 years Job Description Compulynx Ltd is a one stopIT solution provider company offering innovative IT solutions acrossindustries, Retail, Banking, Government, NGOs, Education, Healthcare. Being a pioneer and aleading player in East Africa’s technology solutions space for over 20 yearsnow, our solutions have enabled our customers to achieve business growth,improved efficiency, increased profitability and reduced frauds. At Compulynx Ltd, we place a great valuein attracting and retaining the best people at all levels with great career andpersonal growth opportunities. We are currently looking for passionate,technologically savvy and committed people with a zeal of growth to fill in theposition of Software Developer (2) -Nairobi Office. Key Roles and",,IT & Telecoms,Fullstack Developer,,,1,,N/A,". Develops software solutions to meet customerrequirements through team and individual efforts. Work closely with the Team Leader, BusinessAnalyst and Product Owner for understanding the functional and systemrequirements. Participate in testing process through unittesting and bug fixes. Actively Participate in daily meetings Actively Participate in sprint planning Able to adapt to new languages, methodologies,and platforms to meet the needs of the project. Develop applications written in php, JavaScript,Angular JS or Java. Duties includes reviewing code, writing documentation,and following test procedures. Work may include UI design, graphics development,and programming. Workalongside engineers as part of an agile process to build a virtualenvironment. CANDIDATE REQUIREMENTS Bachelor's degree, preferably inComputer Science, Information Technology, Computer Engineering, or related ITdiscipline 4 years of experience in programming. 1-2 years’ workexperience in Android development is a plus. Experience working for Fintech projects is an addedadvantage. Functional IT languages: JavaScript, Angular JS,Type Script, Java, JavaFX, Spring, Hibernate, Knowledge in MSQL database. Strong technical skills including understandingof software development principles · Candidate should be detail oriented, able tomeet strict deadlines and able to work under pressure and with minimalsupervision  Share Job Post",,Confidential,". Develops software solutions to meet customerrequirements through team and individual efforts. Work closely with the Team Leader, BusinessAnalyst and Product Owner for understanding the functional and systemrequirements. Participate in testing process through unittesting and bug fixes. Actively Participate in daily meetings Actively Participate in sprint planning Able to adapt to new languages, methodologies,and platforms to meet the needs of the project. Develop applications written in php, JavaScript,Angular JS or Java. Duties includes reviewing code, writing documentation,and following test procedures. Work may include UI design, graphics development,and programming. Workalongside engineers as part of an agile process to build a virtualenvironment. CANDIDATE REQUIREMENTS Bachelor's degree, preferably inComputer Science, Information Technology, Computer Engineering, or related ITdiscipline 4 years of experience in programming. 1-2 years’ workexperience in Android development is a plus. Experience working for Fintech projects is an addedadvantage. Functional IT languages: JavaScript, Angular JS,Type Script, Java, JavaFX, Spring, Hibernate, Knowledge in MSQL database. Strong technical skills including understandingof software development principles · Candidate should be detail oriented, able tomeet strict deadlines and able to work under pressure and with minimalsupervision  Share Job Post",Software & Data,Nairobi,N/A,https://www.brightermonday.co.ke/listings/fullstack-developer-6kvrkj,https://www.brightermonday.co.ke/,N/A
1,SoftTec Innovation Africa Ltd,N/A,Kenya,N/A," We are looking for a Business Intelligence (BI) Developer to create and manage BI and analytics solutions that turn data into knowledge. Minimum Qualification: Bachelor Experience Level: Mid level Experience Length: 3 years Job Description IMPORTANT Only applications received via BrighterMonday will be considered. Any phone calls, emails or other types of canvassing may lead to your application being disqualified. Please do not apply if you do not meet the minimum requirements set out below. BI Developer ",,IT & Telecoms,Navision BI Developer,,,1,,N/A," • Proven experience as a BI Developer or Data Scientist • Industry experience is preferred • Background in data warehouse design (e.g. dimensional modeling) and data mining • In-depth understanding of database management systems, online analytical processing (OLAP) and ETL (Extract, transform, load) framework • Familiarity with BI technologies (e.g. Microsoft Power BI, Oracle BI) • Knowledge of SQL queries, SQL Server Reporting Services (SSRS) and SQL Server Integration Services (SSIS) • Proven abilities to take initiative and be innovative Share Job Post",,Confidential," • Proven experience as a BI Developer or Data Scientist • Industry experience is preferred • Background in data warehouse design (e.g. dimensional modeling) and data mining • In-depth understanding of database management systems, online analytical processing (OLAP) and ETL (Extract, transform, load) framework • Familiarity with BI technologies (e.g. Microsoft Power BI, Oracle BI) • Knowledge of SQL queries, SQL Server Reporting Services (SSRS) and SQL Server Integration Services (SSIS) • Proven abilities to take initiative and be innovative Share Job Post",Software & Data,Nairobi,N/A,https://www.brightermonday.co.ke/listings/navision-bi-developer-859m8p,https://www.brightermonday.co.ke/,N/A
1,BrighterMonday Uganda,N/A,Kenya,N/A,,,IT & Telecoms,Developers (Python/Django) DevOps / Android Devs / Project Manager - South Africa,, Mid level ,1,: Bachelor ,N/A,,,"Less than 15,000",,Software & Data,Outside Kenya,N/A,https://www.brightermonday.co.ke/listings/developers-pythondjango-devops-android-devs-project-manager-south-africa-x2kg9n,https://www.brightermonday.co.ke/,N/A
1,,N/A,Kenya,,,,,,,,1,,N/A,,,,,,,,https://jiji.co.ke/nairobi-central/clothing/footbal-jersey-complete-kit-branded-zxIbvuCSreVsWeNYQiBhm0qq.html?ads_count=17&ads_per_page=17&proloaded=1,https://jiji.co.ke/,2020
